# factor, temperature
 0.6000  ,  838.6950  not this one.
 0.6500  ,  774.1800
 0.7000  ,  718.8814
 0.7500  ,  670.9560
 0.8000  ,  629.0212
 0.8500  ,  592.0200
 0.9000  ,  559.1300
 0.9500  ,  529.7021
 1.0000  ,  503.2170
 1.0500  ,  479.2543
 1.1000  ,  457.4700
 1.1500  ,  437.5800
 1.2000  ,  419.3475
 1.2500  ,  402.5736
 1.3000  ,  387.0900
 1.3500  ,  372.7533
 1.4000  ,  359.4407
 1.4500  ,  347.0462
 1.5000  ,  335.4780
 1.5500  ,  324.6561
 1.6000  ,  314.5106
 1.6500  ,  304.9800
 1.7000  ,  296.0100
 1.7500  ,  287.5526
 1.8000  ,  279.5650
 1.8500  ,  272.0092
 1.9000  ,  264.8511
 1.9500  ,  258.0600
 2.0000  ,  251.6085
 2.0500  ,  245.4717
 2.1000  ,  239.6271
 2.1500  ,  234.0544
 2.2000  ,  228.7350
 2.2500  ,  223.6520
 2.3000  ,  218.7900
 2.3500  ,  214.1349
 2.4000  ,  209.6738
 2.4500  ,  205.3947
 2.5000  ,  201.2868
 2.5500  ,  197.3400
 2.6000  ,  193.5450
 2.6500  ,  189.8932
 2.7000  ,  186.3767
 2.7500  ,  182.9880
 2.8000  ,  179.7204
 2.8500  ,  176.5674
 2.9000  ,  173.5231
 2.9500  ,  170.5820
 3.0000  ,  167.7390
 3.0500  ,  164.9892
 3.1000  ,  162.3281
 3.1500  ,  159.7514
 3.2000  ,  157.2553
 3.2500  ,  154.8360
 3.3000  ,  152.4900
 3.3500  ,  150.2140
 3.4000  ,  148.0050
 3.4500  ,  145.8600
 3.5000  ,  143.7763
 3.5500  ,  141.7513
 3.6000  ,  139.7825
 3.6500  ,  137.8677
 3.7000  ,  136.0046
 3.7500  ,  134.1912
 3.8000  ,  132.4255
 3.8500  ,  130.7057
 3.9000  ,  129.0300
 3.9500  ,  127.3967
 4.0000  ,  125.8042
 4.0500  ,  124.2511
 4.1000  ,  122.7359
 4.1500  ,  121.2571
 4.2000  ,  119.8136
 4.2500  ,  118.4040
 4.3000  ,  117.0272
 4.3500  ,  115.6821
 4.4000  ,  114.3675
 4.4500  ,  113.0825
 4.5000  ,  111.8260
 4.5500  ,  110.5971
 4.6000  ,  109.3950
 4.6500  ,  108.2187
 4.7000  ,  107.0674
 4.7500  ,  105.9404
 4.8000  ,  104.8369
 4.8500  ,  103.7561
 4.9000  ,  102.6973
 4.9500  ,  101.6600
 5.0000  ,  100.6434
 5.0500  ,   99.6469
 5.1000  ,   98.6700
 5.1500  ,   97.7120
 5.2000  ,   96.7725
 5.2500  ,   95.8509
 5.3000  ,   94.9466
 5.3500  ,   94.0593
 5.4000  ,   93.1883
 5.4500  ,   92.3334
 5.5000  ,   91.4940
 5.5500  ,   90.6697
 5.6000  ,   89.8602
 5.6500  ,   89.0650
 5.7000  ,   88.2837
 5.7500  ,   87.5160
 5.8000  ,   86.7616
 5.8500  ,   86.0200
 5.9000  ,   85.2910
 5.9500  ,   84.5743
 6.0000  ,   83.8695
 6.0500  ,   83.1764
 6.1000  ,   82.4946
 6.1500  ,   81.8239
 6.2000  ,   81.1640
 6.2500  ,   80.5147
 6.3000  ,   79.8757
 6.3500  ,   79.2468
 6.4000  ,   78.6277
 6.4500  ,   78.0181
